SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,1,1,9,2,11.1,1,1.7,9.4,2,3.6,1416
1,-1,1,20,10,12.3,2,4.1,3.2,2,1.8,1871
-1,-1,1,8,2,14.1,4,4.1,6.3,2,2.9,489
1,-1,-1,-6,6,8.0,3,5.1,21.2,2,5.5,1971
-1,1,1,12,4,8.4,4,5.7,20.0,2,5.4,2756
-1,-1,1,4,4,5.8,1,1.8,9.8,2,2.4,2561
-1,-1,-1,-7,9,17.0,0,0.8,25.2,3,3.1,2903
1,1,1,4,29,8.4,9,9.4,24.4,3,3.6,3131
1,-1,-1,-7,3,10.7,2,2.1,4.3,2,1.9,332
-1,1,-1,-13,10,6.9,0,0.8,23.7,3,6.4,1739
1,-1,-1,-9,2,14.8,2,2.4,15.0,2,2.8,44
-1,-1,1,4,14,11.8,3,5.2,1.2,2,2.1,1950
-1,1,1,7,8,7.5,8,6.1,21.6,2,4.5,1702
1,-1,-1,-24,3,10.1,0,1.0,18.7,2,5.6,2789
1,-1,1,5,17,12.0,8,4.7,5.8,2,1.5,2560
1,1,-1,-17,3,6.0,2,2.2,6.2,2,2.8,887
-1,-1,-1,-2,3,3.9,1,1.4,19.8,2,4.1,205
-1,-1,1,2,6,13.7,1,3.0,25.1,3,4.3,1249
-1,-1,1,19,5,20.0,0,1.3,26.4,3,6.9,364
-1,-1,-1,-12,8,11.8,0,0.8,24.9,3,5.6,1988
1,-1,1,6,1,23.6,0,0.4,12.2,2,5.2,1333
1,-1,1,12,3,13.1,0,0.8,17.8,2,3.7,182
-1,-1,1,4,9,8.5,17,15.7,11.7,2,3.8,2721
1,1,1,4,15,7.2,19,17.4,20.8,2,5.2,3028
-1,1,1,1,1,10.6,2,4.2,3.5,2,3.6,705
-1,1,1,6,9,5.1,1,1.4,5.3,2,2.7,1999
-1,-1,-1,-29,2,15.0,0,0.7,19.8,2,4.4,679
1,-1,1,12,1,8.0,3,2.3,6.9,2,2.3,175
-1,-1,1,25,7,18.5,0,0.5,1.3,2,2.8,1934
1,-1,1,4,17,0.0,0,-1.1,2.2,2,1.2,2166
-1,1,1,16,1,15.6,0,1.3,23.8,3,16.6,224
1,-1,1,3,4,16.3,4,4.3,12.7,2,2.7,1529
-1,-1,1,4,3,5.5,0,0.7,25.0,3,4.0,375
-1,1,-1,-53,2,14.2,0,0.9,22.8,3,5.4,79
1,-1,-1,-6,13,14.6,11,9.3,5.5,2,1.0,2390
-1,1,1,5,10,22.9,1,1.2,26.8,3,2.3,2354
-1,-1,1,1,6,1.8,0,0.8,25.0,3,7.0,2697
1,-1,-1,-2,7,16.0,10,8.9,4.0,2,1.4,1975
-1,-1,1,5,10,1.0,0,0.9,23.8,3,7.7,2513
1,-1,-1,-5,8,8.3,4,5.5,1.5,2,0.7,1974
-1,1,1,4,10,19.9,0,0.8,25.1,3,6.3,2830
-1,1,1,35,11,0.0,0,0.7,22.8,3,6.5,721
-1,-1,1,9,1,4.7,1,1.5,8.4,2,2.6,1171
-1,-1,-1,-25,9,16.1,0,2.5,18.8,2,4.6,2430
-1,1,1,5,1,16.0,0,0.9,3.5,2,1.8,633
1,-1,-1,-8,3,8.8,0,3.4,5.6,2,2.1,1039
1,1,1,6,10,11.4,1,2.2,22.9,3,5.4,1596
-1,-1,-1,-16,6,5.2,1,2.2,24.6,3,6.6,791
-1,1,-1,-11,16,11.4,14,10.7,3.8,2,2.7,2618
-1,-1,-1,-3,8,8.7,0,0.9,15.5,2,9.3,2084
1,1,-1,-4,15,19.8,3,4.4,4.0,2,2.9,2183
1,-1,-1,-10,6,8.4,1,1.8,7.4,2,2.2,1634
1,1,-1,-7,1,15.0,0,1.0,5.3,2,1.2,1176
1,1,1,8,2,11.2,1,1.1,24.5,3,4.0,428
-1,-1,-1,-19,5,0.6,1,2.2,17.5,2,3.3,910
1,1,-1,-7,1,8.5,4,5.4,21.9,2,8.0,580
-1,-1,-1,-21,3,7.0,2,4.1,2.9,2,1.8,468
-1,1,-1,-11,3,19.5,0,0.9,24.2,3,6.3,989
-1,1,1,5,9,4.5,0,1.0,25.0,3,3.6,1847
1,-1,-1,-6,8,18.5,0,0.6,5.2,2,1.7,1940
-1,-1,1,4,19,7.2,2,3.8,5.4,2,0.6,2238
-1,-1,1,6,8,20.4,0,1.0,25.7,3,5.7,787
-1,-1,-1,-3,11,9.1,0,0.6,5.4,2,2.7,1473
1,-1,1,35,2,24.0,0,0.1,2.2,2,1.7,666
-1,1,-1,-7,6,10.0,4,5.8,7.5,2,1.5,2108
-1,-1,-1,-5,7,16.4,0,0.8,2.9,2,1.5,1921
-1,1,-1,-12,11,16.6,0,1.2,24.1,3,3.9,1912
-1,1,1,35,5,15.9,2,4.6,16.2,2,1.9,332
1,-1,1,1,9,15.5,8,9.0,16.9,2,5.6,868
1,-1,1,4,6,10.8,0,0.9,22.3,3,5.7,1925
1,1,-1,-8,5,24.0,0,0.6,7.3,2,5.0,912
1,1,-1,-6,14,14.4,2,2.0,8.0,2,1.3,2215
-1,1,-1,-16,10,6.6,2,2.5,25.7,3,4.7,1861
1,-1,1,4,2,18.2,2,2.2,4.6,2,2.4,1263
1,1,1,9,3,13.5,0,0.5,10.3,2,4.5,317
-1,1,-1,-43,2,2.2,1,1.1,9.9,2,1.1,587
-1,-1,-1,-6,3,5.3,3,2.5,21.3,2,5.9,460
-1,-1,1,20,2,8.9,2,2.5,9.1,2,4.2,2108
-1,1,1,7,1,6.5,0,1.3,14.2,2,3.9,164
-1,-1,1,12,2,24.0,0,0.4,2.9,2,2.7,817
1,1,1,12,6,15.7,0,1.9,0.4,2,1.7,1131
1,1,1,16,10,13.2,0,0.8,18.1,2,6.6,2079
-1,1,1,2,7,11.4,2,2.2,24.9,3,7.2,1859
-1,1,-1,-5,6,0.0,1,1.5,25.9,3,1.4,2881
1,1,1,5,1,9.0,1,2.4,16.0,2,1.9,1376
1,1,-1,-15,5,15.1,0,0.8,24.5,3,6.3,899
-1,-1,1,16,3,6.7,1,1.9,7.1,2,0.7,196
-1,1,-1,-12,5,17.2,7,6.1,4.3,2,0.9,1243
1,-1,1,5,23,10.4,11,11.3,5.2,2,2.1,2331
-1,-1,1,8,1,16.1,0,0.0,4.3,2,1.2,177
1,-1,1,9,9,7.4,0,0.8,25.1,3,4.9,1934
1,-1,1,8,4,24.0,0,0.3,1.1,2,2.6,2751
-1,1,1,5,3,21.8,0,0.9,24.8,3,4.6,977
1,-1,-1,-7,2,12.4,2,2.5,9.3,2,1.2,1429
-1,1,1,20,17,4.0,9,9.5,4.8,2,2.3,1618
-1,1,-1,-18,3,3.9,3,1.8,17.7,2,0.4,1180
1,1,-1,-20,1,24.0,0,0.0,2.3,2,1.5,430
-1,-1,-1,-11,10,16.5,2,3.6,17.8,2,1.9,1767
-1,1,1,23,3,10.5,0,0.7,23.2,3,6.8,2228
-1,-1,1,2,6,8.3,2,4.3,6.6,2,1.8,1120
-1,-1,-1,-21,8,10.6,0,1.4,19.3,2,4.5,1800
-1,1,1,7,18,14.3,9,8.7,5.9,2,2.6,2244
-1,-1,-1,-4,16,11.8,4,3.4,22.3,2,4.5,1555
1,1,1,18,4,10.0,0,0.7,22.9,3,5.8,339
