SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
missed,21400830,"FEB 23, 2015 - MIA vs. PHI",H,W,11,10,3,249,16.7,0,2.1,24.0,3,"Smith, Ish",202397,6.8,luol deng,2736
missed,21400611,"JAN 19, 2015 - MIN @ CHA",A,L,-25,6,2,258,6.4,2,3.3,4.9,2,"Kidd-Gilchrist, Michael",203077,2.7,andrew wiggins,203952
missed,21400740,"FEB 04, 2015 - MEM @ UTA",A,W,10,9,3,279,19.1,0,0.5,4.7,2,"Gobert, Rudy",203497,4.2,zach randolph,2216
made,21400131,"NOV 14, 2014 - SAS @ LAL",A,W,13,5,2,517,15.7,1,3.4,11.0,2,"Kelly, Ryan",203527,4.0,kawhi leonard,202695
missed,21400327,"DEC 11, 2014 - HOU @ SAC",A,W,4,6,2,166,13.4,1,2.1,7.0,2,"Gay, Rudy",200752,1.3,jason terry,1891
missed,21400499,"JAN 03, 2015 - WAS @ SAS",A,L,-9,4,2,695,17.0,2,2.4,16.4,2,"Splitter, Tiago",201168,2.4,rasual butler,2446
missed,21400430,"DEC 25, 2014 - CHI vs. LAL",H,W,20,1,1,618,12.3,0,2.3,6.6,2,"Johnson, Wesley",202325,2.3,jimmy butler,202710
missed,21400387,"DEC 19, 2014 - DET vs. TOR",H,L,-10,7,3,316,24.0,0,0.1,3.0,2,"Johnson, James",201949,1.8,andre drummond,203083
made,21400818,"FEB 21, 2015 - CHI vs. PHX",H,W,5,8,3,702,6.3,1,4.6,4.9,2,"Morris, Markieff",202693,1.6,pau gasol,2200
made,21400834,"FEB 23, 2015 - DEN vs. BKN",H,L,-28,4,3,607,12.8,0,1.0,24.3,3,"Anderson, Alan",101187,4.1,danilo gallinai,201568
missed,21400554,"JAN 10, 2015 - MIL @ CHI",A,L,-8,1,1,372,15.0,0,0.7,20.0,2,"Butler, Jimmy",202710,3.6,khris middleton,203114
missed,21400746,"FEB 06, 2015 - BKN vs. NYK",H,W,4,5,3,523,12.0,3,3.6,19.5,2,"Anthony, Carmelo",2546,2.7,jarrett jack,101127
made,21400759,"FEB 07, 2015 - BKN @ WAS",A,L,-37,13,3,211,13.5,0,0.5,7.0,2,"Humphries, Kris",2743,1.3,brook lopez,201572
missed,21400636,"JAN 21, 2015 - GSW vs. HOU",H,W,13,5,1,276,13.3,0,0.7,23.2,3,"Harden, James",201935,4.1,klay thompson,202691
missed,21400382,"DEC 18, 2014 - OKC @ GSW",A,L,-5,5,1,280,5.3,0,0.8,25.3,3,"Curry, Stephen",201939,12.9,russell westbrook,201566
made,21400878,"MAR 01, 2015 - LAL vs. OKC",H,L,-7,11,3,391,10.7,1,5.1,16.5,2,"Ibaka, Serge",201586,3.8,carlos boozer,2430
missed,21400885,"MAR 02, 2015 - PHI vs. TOR",H,L,-11,10,4,441,9.4,2,3.8,5.5,2,"Patterson, Patrick",202335,1.9,luc mbah a moute,201601
made,21400281,"DEC 05, 2014 - TOR vs. CLE",H,L,-14,6,3,52,20.5,1,1.3,4.3,2,"Waiters, Dion",203079,1.0,lou williams,101150
missed,21400118,"NOV 13, 2014 - MEM vs. SAC",H,W,1,10,3,171,8.6,2,2.8,8.4,2,"Landry, Carl",201171,3.1,marc gasol,201188
missed,21400179,"NOV 21, 2014 - WAS vs. CLE",H,W,13,4,1,526,12.4,1,2.8,10.4,2,"Love, Kevin",201567,3.3,nene hilario,2403
missed,21400390,"DEC 19, 2014 - POR @ SAS",A,W,10,24,6,158,11.2,2,3.2,5.3,2,"Duncan, Tim",1495,1.3,lamarcus aldridge,200746
missed,21400699,"JAN 30, 2015 - BKN vs. TOR",H,L,-5,2,1,593,4.3,0,0.8,20.1,2,"Johnson, Amir",101161,11.1,kevin garnett,708
made,21400879,"MAR 01, 2015 - SAC vs. POR",H,L,-11,10,4,308,14.6,2,3.5,14.9,2,"Aldridge, LaMarcus",200746,5.5,derrick williams,202682
made,21400083,"NOV 08, 2014 - IND vs. WAS",H,L,-7,2,1,372,3.7,3,4.2,20.6,2,"Temple, Garrett",202066,4.0,solomon hill,203524
