SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
1,-1,-1,-2,9,0.0,0,1.0,24.3,3,6.4,1444
0,-1,1,5,5,4.0,1,3.0,22.8,3,2.8,2111
1,-1,-1,-6,3,0.0,0,1.5,3.4,2,2.1,480
1,-1,1,14,3,15.2,0,0.9,23.0,3,9.0,147
1,1,1,9,2,10.6,0,1.2,19.9,2,5.2,1427
0,-1,-1,-3,20,0.0,1,2.6,27.5,3,2.2,3602
1,1,-1,-9,7,15.9,1,1.3,4.5,2,3.1,2725
1,-1,1,11,9,9.2,1,2.4,6.2,2,1.9,1647
1,1,1,18,2,20.6,3,4.0,24.3,3,6.0,209
0,1,-1,-16,7,13.7,0,0.9,1.2,2,1.7,1857
1,1,1,2,20,7.8,0,0.6,9.6,2,4.0,2313
1,1,1,1,7,13.7,0,1.0,4.5,2,2.1,1831
0,-1,-1,-5,12,13.7,2,1.7,3.6,2,1.3,1578
0,1,-1,-25,14,10.4,17,13.7,9.3,2,4.2,2305
0,1,1,2,7,20.3,0,0.9,25.3,3,5.6,1729
1,-1,1,4,9,9.0,0,0.0,9.2,2,5.6,2659
0,1,1,11,2,9.4,2,3.5,6.0,2,2.6,599
0,-1,1,21,3,2.4,2,2.6,18.6,2,4.6,2405
0,-1,-1,-1,21,21.3,1,2.5,8.4,2,2.7,2372
0,-1,-1,-12,1,8.5,2,3.1,1.8,2,2.5,556
0,-1,-1,-10,7,13.7,1,1.9,5.6,2,2.4,2350
0,1,1,6,12,18.2,0,0.0,8.9,2,4.0,3010
1,-1,1,6,11,1.2,4,4.8,22.6,2,4.3,2348
1,1,1,7,4,15.7,0,0.7,4.4,2,6.8,746
0,1,1,8,5,0.0,0,0.7,19.0,2,4.5,156
0,1,-1,-6,5,9.9,2,4.3,24.9,3,8.6,1146
0,-1,1,12,1,11.0,0,0.6,23.1,3,9.6,903
0,-1,-1,-2,10,12.3,0,1.1,22.3,3,14.0,2231
0,-1,-1,-5,1,8.0,0,1.2,16.8,2,9.9,622
0,-1,1,16,9,12.8,3,2.1,3.8,2,0.8,1524
1,1,-1,-15,1,3.0,0,2.2,8.4,2,3.6,671
0,-1,-1,-11,1,9.1,1,1.6,6.9,2,2.6,532
1,-1,1,13,10,5.8,0,0.6,5.6,2,0.8,1722
1,-1,1,16,4,19.6,4,4.0,1.5,2,1.9,183
1,-1,1,11,3,18.0,0,0.9,22.5,3,18.0,2531
0,1,-1,-21,3,15.0,0,1.0,23.0,3,9.9,1165
1,-1,1,11,14,5.2,0,1.1,19.0,2,12.0,2727
1,-1,1,5,8,16.9,6,5.3,3.1,2,1.3,2807
0,-1,1,4,2,14.0,2,2.4,3.4,2,2.0,427
0,1,-1,-5,9,4.4,0,0.0,2.0,2,5.1,727
0,-1,1,5,5,13.8,6,7.0,20.1,2,2.8,2013
0,1,1,21,17,13.7,1,2.2,4.0,2,0.0,1789
1,-1,-1,-17,13,5.5,1,5.3,19.7,2,4.3,1902
0,-1,-1,-6,5,15.3,0,1.2,22.1,3,6.2,2871
0,-1,1,11,25,4.0,21,20.1,26.5,3,4.6,2262
0,-1,-1,-3,1,24.0,0,0.0,2.5,2,1.4,287
1,1,1,2,7,13.2,0,0.9,22.5,3,17.0,795
1,1,1,4,14,19.5,0,0.2,0.7,2,1.7,2753
0,-1,1,11,6,18.4,1,1.6,23.9,3,4.7,2587
0,-1,-1,-1,9,13.8,1,1.6,4.1,2,2.0,761
1,1,1,29,3,20.0,1,1.5,25.7,3,10.9,1090
0,1,1,5,3,16.8,0,0.7,26.0,3,4.4,2779
0,1,1,24,8,13.8,1,5.4,2.8,2,3.1,2734
1,-1,1,4,8,16.2,9,7.0,5.0,2,4.8,760
1,1,1,5,10,5.9,3,3.0,6.9,2,2.8,1547
1,1,-1,-1,11,6.5,0,0.8,18.6,2,13.3,2425
1,-1,-1,-15,14,19.5,0,1.2,26.9,3,4.1,2212
0,1,-1,-4,4,11.5,0,0.9,6.1,2,1.0,877
1,-1,-1,-10,3,15.4,0,0.5,3.3,2,3.5,3003
0,-1,1,2,25,0.7,0,1.3,22.5,2,3.9,2962
0,-1,1,5,3,17.2,2,2.3,2.8,2,2.5,418
