SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,1,-1,-4,5,14.8,10,8.8,13.7,2,3.5,110
-1,1,1,7,3,5.5,0,1.2,3.6,2,1.5,819
-1,1,-1,-3,1,12.2,0,1.2,25.9,3,5.3,36
-1,1,-1,-1,1,9.3,2,2.0,9.7,2,4.1,703
1,1,-1,-11,1,22.2,0,1.0,24.2,3,3.9,620
1,-1,1,23,3,9.0,0,0.9,11.5,2,4.1,953
1,-1,-1,-6,1,19.1,7,5.8,25.1,3,6.7,276
1,1,-1,-11,8,12.1,0,1.4,2.0,2,2.1,1214
1,1,1,11,30,9.9,0,0.0,18.5,2,1.9,2264
1,-1,1,11,14,21.8,0,0.8,4.7,2,7.5,1739
1,1,1,4,4,7.9,0,0.8,25.3,3,3.9,2740
1,-1,1,25,6,8.7,0,0.5,1.7,2,4.2,1606
-1,-1,-1,-10,13,4.0,6,6.7,1.9,2,1.5,1701
-1,-1,1,16,2,10.0,0,0.9,16.2,2,4.1,525
-1,1,-1,-4,4,6.9,18,17.4,3.5,2,0.4,308
-1,-1,1,5,9,9.1,4,5.5,9.3,2,0.0,1640
-1,1,-1,-9,14,4.1,4,4.1,24.4,3,4.7,2697
-1,-1,-1,-9,7,6.1,4,5.1,9.2,2,0.4,239
1,1,-1,-16,3,11.7,0,0.7,24.7,3,5.6,367
1,1,1,14,3,13.7,1,3.1,9.2,2,2.3,193
-1,1,-1,-28,10,16.4,7,7.9,23.8,3,2.3,2575
-1,-1,-1,-9,16,16.1,2,3.1,4.5,2,1.9,2333
-1,-1,1,11,13,11.3,3,5.1,20.4,2,4.6,2703
-1,1,-1,-4,9,14.2,1,1.1,5.4,2,2.5,1799
1,-1,1,6,6,20.8,0,1.1,2.4,2,2.8,1084
-1,1,-1,-2,11,17.8,0,0.8,27.6,3,4.2,1551
1,-1,1,11,7,10.2,14,13.1,17.6,2,2.5,1957
-1,1,-1,-14,3,5.4,0,0.8,25.1,3,12.7,971
-1,1,-1,-4,3,11.8,0,0.8,24.3,3,5.6,2594
1,-1,-1,-8,12,4.3,7,6.4,24.2,3,4.8,1803
-1,1,-1,-2,11,14.3,1,2.1,23.4,3,7.3,1604
-1,1,-1,-9,2,11.2,0,0.5,11.2,2,0.9,584
1,1,-1,-7,9,9.7,1,1.3,17.5,2,2.2,2606
-1,-1,-1,-8,3,9.3,0,3.9,9.7,2,3.4,596
1,-1,1,9,3,19.1,1,1.6,2.8,2,0.4,497
1,1,-1,-2,3,21.1,1,1.8,5.5,2,0.9,2756
1,1,1,18,1,15.7,0,0.6,3.0,2,1.1,389
-1,-1,-1,-11,12,14.9,1,2.5,5.6,2,0.0,2618
-1,-1,1,7,3,21.8,0,1.1,24.3,3,4.4,249
1,-1,-1,-2,6,13.0,0,1.0,22.1,3,7.0,1849
1,1,1,6,3,4.7,0,0.7,6.9,2,4.8,1561
1,-1,1,3,2,19.5,0,1.5,1.0,2,2.3,2798
-1,-1,1,25,2,18.9,0,0.8,24.2,3,5.8,133
1,1,-1,-4,3,19.2,0,1.0,1.7,2,4.0,1496
1,1,-1,-3,9,16.2,0,0.7,25.8,3,4.2,3111
1,-1,1,3,3,15.6,0,0.9,3.7,2,2.0,152
-1,-1,-1,-27,7,1.0,6,6.8,15.4,2,3.8,1797
-1,1,1,6,7,0.0,0,0.9,23.5,3,3.5,1006
-1,1,-1,-13,5,5.9,0,3.4,16.0,2,4.9,1200
-1,-1,-1,-20,2,16.0,0,1.4,25.9,3,4.4,277
1,1,1,5,2,20.3,5,5.6,16.7,2,8.8,312
1,1,1,15,11,16.7,0,0.7,2.3,2,1.4,1628
-1,-1,1,25,11,17.8,0,1.1,24.4,3,8.8,773
-1,-1,1,3,1,12.9,0,0.9,9.9,2,3.7,634
1,1,-1,-20,4,14.8,0,0.8,18.0,2,8.3,2307
-1,-1,-1,-2,1,12.8,0,5.1,12.3,2,3.6,461
1,-1,1,7,5,22.6,0,0.0,3.0,2,2.9,1373
1,1,-1,-14,1,17.9,0,0.9,18.2,2,13.6,627
1,1,1,24,6,4.7,1,2.2,14.8,2,4.7,1948
-1,1,1,29,3,13.0,0,2.0,22.3,3,4.2,1577
1,-1,-1,-14,2,17.7,0,0.8,2.6,2,2.2,128
1,1,-1,-3,9,21.1,3,3.6,4.1,2,6.4,2601
1,-1,1,5,6,17.3,8,6.3,5.5,2,1.8,1970
-1,1,-1,-5,4,4.1,0,0.0,1.9,2,0.3,1521
-1,1,-1,-7,1,10.6,0,3.8,17.3,2,3.3,705
1,1,1,5,5,0.0,0,0.8,23.7,3,5.7,1443
1,-1,1,6,23,12.0,0,0.9,18.3,2,6.3,2268
1,1,-1,-31,1,5.9,1,2.2,11.0,2,2.5,677
-1,-1,-1,-5,21,0.0,7,3.7,24.3,3,5.4,2167
-1,1,-1,-36,9,4.2,6,4.6,18.8,2,4.5,1773
-1,-1,-1,-10,10,8.0,1,2.0,10.6,2,4.4,1645
1,-1,-1,-4,1,15.4,0,0.8,2.1,2,6.6,428
1,-1,1,7,5,7.8,1,2.1,12.0,2,5.1,1424
-1,1,1,2,16,7.2,3,7.1,9.0,2,0.6,2241
-1,-1,-1,-4,16,4.4,0,3.9,18.7,2,2.1,2383
-1,1,1,9,10,5.0,0,0.8,3.2,2,6.6,1933
1,1,-1,-3,8,23.0,0,1.2,2.4,2,1.4,882
-1,1,-1,-9,5,14.8,0,1.0,26.4,3,7.5,902
-1,1,1,18,6,12.0,10,10.8,9.2,2,2.6,2692
1,1,1,6,2,13.0,1,3.7,12.0,2,2.1,479
1,-1,1,26,7,12.0,0,1.1,1.2,2,3.0,940
-1,-1,1,25,7,21.8,0,0.9,24.8,3,8.6,937
-1,-1,-1,-6,6,3.0,1,2.5,24.1,3,3.4,1318
-1,1,-1,-9,17,18.5,0,0.8,25.4,3,6.4,2219
1,-1,1,5,3,11.4,5,4.8,6.1,2,0.4,632
-1,1,-1,-43,6,6.5,0,1.0,18.1,2,8.5,1899
-1,1,1,15,9,13.3,5,5.0,4.1,2,1.8,2457
-1,-1,1,17,10,5.2,10,15.8,9.7,2,4.6,731
1,1,-1,-17,2,9.5,1,1.4,5.2,2,3.9,1481
-1,1,-1,-19,2,21.1,2,2.0,15.1,2,3.2,418
-1,-1,1,7,17,4.3,4,4.8,9.4,2,2.8,2640
-1,1,-1,-2,2,4.7,0,0.0,2.0,2,2.1,15
1,-1,-1,-2,3,10.6,1,2.8,21.1,2,4.2,1158
